	roi	FBbt Neuron 1	FBbt2 Neuron 2	FBbt2 Neuron 3	FBbt Neuron 4	FBbt2 Neuron 5
0	PD2f1	adult PD2f1 neuron				
1	PV5b1	adult PV5b1 neuron				
2	AV4b4	adult AV4b4 neuron				
3	WED-PN5	adult WED-PN5 lateral horn input neuron				
4	PPL2ab-PN1	dopaminergic PPL2ab neuron				
5	AD1d1	adult AD1d1 neuron				
6	PV5a3	adult PV5a3 neuron				
7	PV5c1	adult PV5c1 neuron				
8	PV3f1	adult PV3f1 neuron				
9	PV5k1	adult PV5k1 neuron				
10	WED-PN3	adult WED-PN3 lateral horn input neuron				
11	PV4b1/b2	adult PV4b1 neuron	adult PV4b2 neuron			
12	AV1a1	adult AV1a1 neuron				
13	WED-PN2	adult WED-PN2 lateral horn input neuron				
14	AV1a3	adult AV1a3 neuron				
15	PV4b3	adult PV4b3 neuron				
16	WED-PN6	adult WED-PN6 lateral horn input neuron				
17	AVLP-PN1	adult AVLP-PN1 lateral horn input neuron				
18	PD3a1	adult PD3a1 neuron				
19	PV2a1/b1	adult PV2a1 neuron	adult PV2b1 neuron			
20	AV4b3	adult AV4b3 neuron				
21	PD2a1/b1	adult PD2a1 neuron	adult PD2b1 neuron			
22	PV4a9	adult PV4a9 neuron				
23	PV5b3	adult PV5b3 neuron				
24	PV4a1:5	adult PV4a1 neuron	adult PV4a2 neuron	adult PV4a3 neuron	adult PV4a4 neuron	adult PV4a5 neuron
25	PV4d3/d4	adult PV4d3 neuron	adult PV4d4 neuron			
26	AV6a1	adult AV6a1 neuron				
27	AV4c1/c2	adult AV4c1 neuron	adult AV4c2 neuron			
28	AD3b1	adult AD3b1 neuron				
29	AV4a1	adult AV4a1 neuron				
30	AV4a3/a4	adult AV4a3 neuron	adult AV4a4 neuron			
31	AV6b3	adult AV6b3 neuron				
32	PV5a1	adult PV5a1 neuron				
33	PV5b2	adult PV5b2 neuron				
34	PV4c1	adult PV4c1 neuron				
35	PLP-PN1	adult PLP-PN1 lateral horn input neuron				
36	WED-PN1	adult WED-PN1 lateral horn input neuron				
37	PV6a1	adult PV6a1 neuron				
38	AV4b8	adult AV4b8 neuron				
39	PV2d1	adult PV2d1 neuron				
40	PV5g1/g2	adult PV5g1 neuron	adult PV5g2 neuron			
41	AD1a1/f1	adult AD1a1 neuron	adult AD1f1 neuron			
42	AD1e1	adult AD1e1 neuron				
43	AD1a2	adult AD1a2 neuron				
44	AV7a1	adult AV7a1 neuron				
45	WED-PN4	adult WED-PN4 lateral horn input neuron				
46	PV12a1	adult PV12a1 neuron				
47	AV2b1/b2	adult AV2b1 neuron	adult AV2b2 neuron			
48	PV4d1	adult PV4d1 neuron				
49	PV6a3	adult PV6a3 neuron				
50	AV6c1	adult AV6c1 neuron				
51	VNC-PN1	adult VNC-PN1 lateral horn input neuron				
52	LO-PN1	adult LO-PN1 lateral horn input neuron				
53	PV4a12/c2	adult PV4a12 neuron	adult PV4c2 neuron			
54	PV6c1	adult PV6c1 neuron				
55	PV4c3	adult PV4c3 neuron				
56	PV2c1	adult PV2c1 neuron				
57	AV6b1	adult AV6b1 neuron				
58	AD1b1/b2	adult AD1b1 neuron	adult AD1b2 neuron			
59	AV5a1	adult AV5a1 neuron				
60	LO-PN2	adult LO-PN2 lateral horn input neuron				
61	GNG-PN1	adult GNG-PN1 lateral horn input neuron				
62	AV2a1/a4	adult AV2a1 neuron	adult AV2a4 neuron			
63	PV5c2	adult PV5c2 neuron				
64	MB-C1	mushroom body calyx arborizing neuron 1				
65	PD3a2	adult PD3a2 neuron				